Home,Postcode,Competition
St George's,,ICG Women's South Eastern Tier 5
UCL  (RUMS),EN4 0PS,ICG Women's South Eastern Tier 5
UCL,W4 2SH,ICG Women's South Eastern Tier 4
East Anglia,NR4 7TJ,Men's Midlands Tier 3
Leeds Trinity,,ICG Women's Northern Tier 5
Sheffield Hallam,,ICG Women's Northern Tier 5
Anglia Ruskin,CB3 0EQ,ICG Women's Midlands Tier 4
Cambridge,CB3 0EQ,Men's Midlands Tier 1
De Montfort,,Men's Midlands Tier 4
Canterbury CC,CT3 4AF,ICG Women's South Eastern Tier 4
Canterbury CC,CT3 4AF,Men's South Eastern Tier 4
Sheffield,S8 8PS,ICG Women's Northern Tier 2
Northampton,NN3 7QL,Men's Midlands Tier 4
Gloucestershire,GL2 9DW,Men's Western Tier 2
St Mary's,TW11 9BE,Men's South Eastern Tier 2
Leeds,LS16 5AU,Men's Northern Tier 3
Loughborough,LE11 3TU,Men's Midlands Tier 3
Bristol,BS9 2BJ,Men's Western Tier 3
Queen Mary  (Barts),,Men's South Eastern Tier 3
Oxford,OX4 1SR,ICG Women's Premier (National)
Hull,,Men's Northern Tier 5 
Northumbria,,ICG Women's Northern Tier 4
Bangor,LL57 2EH,ICG Women's Northern Tier 5
Southampton,SO50 5PE,ICG Women's Western Tier 2
Hartpury,,ICG Women's Western Tier 4
Reading,RG6 6UR,ICG Women's South Eastern Tier 2 
Nottingham,NG7 2RJ,ICG Women's Midlands Tier 3
Sheffield Hallam,,Men's Premier (North/South)
Durham,DH1 3SE,Men's Northern Tier 2
Newcastle,NE12 8AD,Men's Northern Tier 1
Lancaster,LA1 4YQ,ICG Women's Northern Tier 2
Cardiff Met,,Men's Western Tier 2
Cardiff  (Medics),CF14 3AT,Men's Western Tier 2
Birmingham,B15 2GR,Men's Premier (National)
Durham,DH1 3SE,Men's Premier (National)
Oxford Brookes,OX3 0GB,Men's Premier (National)
UCL  (RUMS),EN4 0PS,Men's South Eastern Tier 3
Nottingham Trent,,Men's Midlands Tier 1
Bath Spa,,Men's Western Tier 4
UCL  (RUMS),EN4 0PS,Men's South Eastern Tier 5
Birmingham,B15 2GR,ICG Women's Midlands Tier 1
Huddersfield,,ICG Women's Northern Tier 5
Queen Mary,,ICG Women's South Eastern Tier 3 
UCL,W4 2SH,Men's South Eastern Tier 2
Glasgow Caledonian,G41 4LB,Men's Scottish Tier 2
Glasgow Caledonian,G40 1HB,ICG Women's Scottish Tier 4
York,YO10 5NA,Men's Northern Tier 2
Nottingham,NG7 2PS,Men's Premier (National)
Exeter,EX4 4QN,Men's Western Tier 3
Leeds Beckett,LS6 3QQ,Men's Premier (North/South)
Exeter,EX4 4QN,Men's Premier (North/South)
Liverpool,L18 6HF,ICG Women's Premier (North/South)
Bristol,BS9 2BJ,Men's Western Tier 1
Manchester,M14 6HE,ICG Women's Northern Tier 2
King's College  (GKT),SE23 1NW,ICG Women's South Eastern Tier 2 
Royal Holloway,,ICG Women's South Eastern Tier 5
Warwick,CV4 8AH,ICG Women's Midlands Tier 3
Sheffield,S8 8PS,Men's Northern Tier 2
Derby,DE22 1JD,Men's Midlands Tier 3
Southampton,SO50 5PE,Men's Western Tier 3
City,E20 3AD,Men's South Eastern Tier 3
Cambridge,CB3 0EQ,ICG Women's Midlands Tier 2 
Nottingham,NG7 2RJ,ICG Women's Midlands Tier 2 
Durham,DH1 3SE,ICG Women's Northern Tier 5
Newcastle,NE12 8AD,Men's Northern Tier 1
Oxford,OX4 1SR,Men's Premier (North/South)
Cardiff Met,,ICG Women's Premier (National)
Cardiff,CF14 3AT,Men's Western Tier 1
Nottingham Trent,,ICG Women's Midlands Tier 1
Birmingham,B15 2GR,Men's Midlands Tier 2
Southampton,SO50 5PE,Men's Western Tier 2
Liverpool,L18 6HF,Men's Northern Tier 1
Cardiff,CF14 3AT,ICG Women's Western Tier 2
Derby,DE22 1JD,ICG Women's Midlands Tier 3
Swansea,,ICG Women's Western Tier 3
Coventry,CV4 8GP,Men's Midlands Tier 2
Leeds Beckett,LS6 3QQ,ICG Women's Northern Tier 5
Sheffield,S8 8PS,ICG Women's Northern Tier 5
York St John,,Men's Northern Tier 5 
Liverpool John Moores,,ICG Women's Northern Tier 4
UWE,BS16 1QY,ICG Women's Western Tier 4
Manchester Met,,Men's Northern Tier 4
Winchester,SO23 0QA,Men's Western Tier 4
Royal Agricultural,,Men's Western Tier 4
Portsmouth,PO4 8LW,Men's South Eastern Tier 1
Bath,BA2 7AY,Men's Western Tier 2
Manchester,M14 6HE,Men's Northern Tier 2
Reading,RG6 6UR,Men's South Eastern Tier 2
Durham,DH1 3SE,Men's Northern Tier 3
Bournemouth,BH23 6BL,Men's Western Tier 3
Exeter,EX4 4QN,Men's Western Tier 3
Cardiff,CF14 3AT,Men's Western Tier 3
St George's,,Men's South Eastern Tier 3
Nottingham Trent,,Men's Midlands Tier 4
Southampton,SO50 5PE,Men's Western Tier 4
Swansea,,Men's Western Tier 4
Bath,BA2 7AY,Men's Western Tier 1
Leeds,LS16 5AU,Men's Northern Tier 5 
Keele,,ICG Women's Northern Tier 3
Oxford Brookes,OX3 0GB,ICG Women's Midlands Tier 2 
Edge Hill,L39 4QP,ICG Women's Northern Tier 5
Leeds,LS16 5AU,ICG Women's Northern Tier 5
Newcastle,NE12 8AD,ICG Women's Northern Tier 5
Bedfordshire,,ICG Women's Midlands Tier 4
Marjon,,ICG Women's Western Tier 3
Exeter,EX4 4QN,ICG Women's Western Tier 2
Surrey,GU2 7AD,ICG Women's South Eastern Tier 3 
King's College  (GKT),SE23 1NW,ICG Women's South Eastern Tier 4
King's College  (GKT),SE23 1NW,ICG Women's South Eastern Tier 5
Warwick,CV4 8AH,ICG Women's Midlands Tier 3
Plymouth,PL5 1ER,ICG Women's Western Tier 2
Imperial,TW7 4NQ,Men's South Eastern Tier 4
UCL,W4 2SH,Men's South Eastern Tier 4
LSE,E20 3AD,Men's South Eastern Tier 2
Sussex,,Men's South Eastern Tier 3
De Montfort,,Men's Midlands Tier 4
Lincoln,,ICG Women's Midlands Tier 4
Imperial,UB3 5AQ,ICG Women's South Eastern Tier 2 
LSE,E20 3AD,ICG Women's South Eastern Tier 3 
Bucks New,HP7 9HN,ICG Women's South Eastern Tier 4
Sheffield,S8 8PS,Men's Northern Tier 2
UCLan,PR2 1SG,ICG Women's Northern Tier 3
Teesside,,ICG Women's Northern Tier 4
Hertfordshire,,ICG Women's South Eastern Tier 2 
Canterbury CC,CT3 4AF,ICG Women's South Eastern Tier 4
Harper Adams,,ICG Women's Midlands Tier 3
Aston,,Men's Midlands Tier 2
Bath,BA2 7AY,Men's Western Tier 2
Leeds,LS16 5AU,Men's Northern Tier 5 
Liverpool John Moores,,ICG Women's Northern Tier 2
Loughborough,LE11 3TU,ICG Women's Midlands Tier 1
Reading,RG6 6UR,ICG Women's South Eastern Tier 1
Leeds,LS16 5AU,ICG Women's Northern Tier 3
Birmingham,B15 2GR,ICG Women's Midlands Tier 2 
Sheffield Hallam,,ICG Women's Northern Tier 5
Cardiff Met,,ICG Women's Western Tier 3
Bournemouth,BH23 6BL,ICG Women's Western Tier 2
Cardiff,CF14 3AT,ICG Women's Western Tier 2
Nottingham Trent,,Men's Midlands Tier 1
Durham,DH1 3SE,ICG Women's Northern Tier 2
Imperial  (Medics),TW7 4NQ,Men's South Eastern Tier 4
Manchester Met,,Men's Northern Tier 2
Royal Holloway,,Men's South Eastern Tier 5
Queen Mary  (Barts),,ICG Women's South Eastern Tier 1
Kingston,,ICG Women's South Eastern Tier 3 
Exeter,EX4 4QN,Men's Western Tier 2
Edge Hill,L39 4QP,Men's Northern Tier 2
Swansea,,Men's Western Tier 2
Warwick,CV4 8AH,Men's Midlands Tier 3
Portsmouth,PO4 8LW,Men's South Eastern Tier 3
Queen Mary  (Barts),,Men's South Eastern Tier 3
Liverpool,L18 6HF,Men's Northern Tier 4
Leeds Beckett,LS6 3QQ,Men's Northern Tier 4
King's College  (GKT),SE23 1NW,Men's South Eastern Tier 5
Nottingham,NG7 2PS,ICG Women's Midlands Tier 1
UCL  (RUMS),EN4 0PS,ICG Women's South Eastern Tier 1
Manchester Met,M14 6HE,ICG Women's Northern Tier 4
Leicester,LE2 2LL,ICG Women's Midlands Tier 2 
Manchester,M14 6HE,ICG Women's Northern Tier 5
Chichester,PO19 6PE,ICG Women's South Eastern Tier 2 
Kent,,ICG Women's South Eastern Tier 3 
Plymouth,PL5 1ER,Men's Western Tier 1
Anglia Ruskin,CB3 0EQ,ICG Women's Midlands Tier 4
Sussex,,Men's South Eastern Tier 1
De Montfort,,ICG Women's Midlands Tier 4
Northumbria,,ICG Women's Northern Tier 1
Sheffield,S8 8PS,ICG Women's Northern Tier 1
Brighton,,Men's South Eastern Tier 2
Loughborough,LE11 3TU,Men's Midlands Tier 3
Solent,,Men's Western Tier 3
Leeds,LS16 5AU,Men's Northern Tier 4
Oxford Brookes,OX3 0GB,Men's Midlands Tier 4
Cardiff,CF14 3AT,ICG Women's Western Tier 1
Leeds,LS16 5AU,ICG Women's Northern Tier 2
Worcester,WR3 7SW,ICG Women's Midlands Tier 4
Bath,BA2 7AY,ICG Women's Western Tier 3
Southampton,SO50 5PE,ICG Women's Western Tier 4
Cardiff Met,,ICG Women's Western Tier 4
Reading,RG6 6UR,ICG Women's South Eastern Tier 4
Canterbury CC,CT3 4AF,Men's South Eastern Tier 4
Durham,DH1 3SE,ICG Women's Northern Tier 3
Newcastle,NE12 8AD,ICG Women's Northern Tier 1
Imperial,UB3 5AQ,Men's South Eastern Tier 3
Birmingham,B15 2GR,Men's Midlands Tier 2
Staffordshire,ST15 0BW,Men's Midlands Tier 3
Kent,,Men's South Eastern Tier 1
Nottingham Trent,,ICG Women's Midlands Tier 1
Bath Spa,,ICG Women's Western Tier 4
Queen Mary,,ICG Women's South Eastern Tier 3 
Queen Mary  (Barts),,ICG Women's South Eastern Tier 5
Aston,,ICG Women's Midlands Tier 3
Bristol,BS9 2BJ,Men's Western Tier 2
Keele,,Men's Northern Tier 3
Leeds Beckett,LS6 3QQ,Men's Northern Tier 3
Nottingham,NG7 2PS,Men's Midlands Tier 1
Exeter,EX4 4QN,Men's Western Tier 1
Manchester Met,M14 6HE,ICG Women's Northern Tier 2
Liverpool,L18 6HF,ICG Women's Northern Tier 4
Exeter,EX4 4QN,ICG Women's Western Tier 3
Portsmouth,PO4 8LW,Men's South Eastern Tier 4
Loughborough,LE11 3TU,Men's Midlands Tier 2
Leeds,LS16 5AU,Men's Northern Tier 2
Sheffield,S8 8PS,Men's Northern Tier 1
Solent,,ICG Women's Western Tier 4
Sussex,,ICG Women's South Eastern Tier 5
Imperial  (Medics),UB3 5AQ,Men's South Eastern Tier 5
Durham,DH1 3SE,ICG Women's Northern Tier 5
City,,ICG Women's South Eastern Tier 4
Newcastle,NE12 8AD,Men's Northern Tier 1
Nottingham Trent,,ICG Women's Midlands Tier 3
Birmingham,B15 2GR,Men's Midlands Tier 2
Cardiff Met,,ICG Women's Western Tier 2
Bath,BA2 7AY,ICG Women's Western Tier 3
Liverpool John Moores,,Men's Northern Tier 4
York,YO10 5NA,Men's Northern Tier 5 
Brunel,UB8 3PH,ICG Women's South Eastern Tier 1
Royal Holloway,,ICG Women's South Eastern Tier 4
Lancaster,LA1 4YQ,ICG Women's Northern Tier 2
UCL,W4 2SH,ICG Women's South Eastern Tier 4
Canterbury CC,CT3 4AF,Men's South Eastern Tier 1
Oxford,OX4 1SR,Men's Midlands Tier 1
Coventry,CV4 8GP,Men's Midlands Tier 4
Reading,RG6 6UR,ICG Women's South Eastern Tier 2 
Brighton,,Men's South Eastern Tier 2
UCL,W4 2SH,Men's South Eastern Tier 2
Kent,CT2 7SR,Men's South Eastern Tier 5
Imperial  (Medics),UB3 5AQ,ICG Women's South Eastern Tier 2 
UCL  (RUMS),EN4 0PS,ICG Women's South Eastern Tier 5
Nottingham Trent,,ICG Women's Midlands Tier 4
Glasgow,G20 0SP,ICG Women's Scottish Tier 2
Abertay,DD4 7AA,ICG Women's Scottish Tier 5
Swansea,,ICG Women's Western Tier 4
Leeds Beckett,LS6 3QQ,ICG Women's Northern Tier 4
Sheffield,S8 8PS,Men's Northern Tier 4
UWE,,Men's Western Tier 3
Liverpool John Moores,,Men's Northern Tier 4
Keele,,Men's Northern Tier 3
Winchester,SO23 0QA,Men's Western Tier 4
Royal Holloway,,Men's South Eastern Tier 5
Portsmouth,PO4 8LW,Men's South Eastern Tier 1
Bangor,LL57 2EH,ICG Women's Northern Tier 5
Warwick,CV4 8AH,Men's Midlands Tier 2
Leicester,LE2 2LL,Men's Midlands Tier 2
Exeter,EX4 4QN,Men's Western Tier 2
Swansea,,Men's Western Tier 2
Bath,BA2 7AY,Men's Western Tier 2
Durham,DH1 3SE,Men's Northern Tier 3
Manchester Met,,Men's Northern Tier 4
Nottingham,NG7 2PS,Men's Midlands Tier 1
Nottingham Trent,,Men's Midlands Tier 4
Royal Agricultural,,Men's Western Tier 4
Bournemouth,BH23 6BL,Men's Western Tier 1
Leeds,LS16 5AU,ICG Women's Northern Tier 5
Exeter,EX4 4QN,ICG Women's Western Tier 3
Bucks New,HP7 9HN,ICG Women's South Eastern Tier 4
King's College,SE23 1NW,ICG Women's South Eastern Tier 4
King's College  (GKT),SE23 1NW,ICG Women's South Eastern Tier 4
Nottingham,NG7 2RJ,ICG Women's Midlands Tier 3
Oxford Brookes,OX3 0GB,ICG Women's Midlands Tier 3
Plymouth,PL6 8BH,Men's Western Tier 1
Brighton,,ICG Women's South Eastern Tier 1
Plymouth,PL5 1ER,ICG Women's Western Tier 2
Anglia Ruskin,CB3 0EQ,ICG Women's Midlands Tier 4
Imperial,UB3 5AQ,ICG Women's South Eastern Tier 5
Aberdeen,,Men's Scottish Tier 1
Aberdeen,,ICG Women's Scottish Tier 4
LSE,E20 3AD,Men's South Eastern Tier 2
Brunel,UB8 3PH,Men's South Eastern Tier 2
Lancaster,LA1 4YQ,Men's Northern Tier 3
Leeds Beckett,LS6 3QQ,Men's Northern Tier 4
Queen Mary  (Barts),,ICG Women's South Eastern Tier 1
De Montfort,,ICG Women's Midlands Tier 4
Lincoln,,ICG Women's Midlands Tier 4
UWE,,ICG Women's Western Tier 4
Imperial,UB3 5AQ,ICG Women's South Eastern Tier 2 
Imperial,TW7 4NQ,Men's South Eastern Tier 4
USW,,ICG Women's Western Tier 2
Glasgow,G20 0SP,Men's Scottish Tier 2
Edge Hill,L39 4QP,Men's Northern Tier 2
Oxford,OX4 1SR,Men's Midlands Tier 3
Bristol,BS9 2BJ,Men's Western Tier 3
UCLan,PR2 1SG,ICG Women's Northern Tier 3
Stirling,FK9 4LA,ICG Women's Scottish Tier 5
Edinburgh,,Men's Scottish Tier 3
Chester,,Men's Northern Tier 2
Sheffield Hallam,,Men's Northern Tier 2
Essex,CO4 3SQ,Men's South Eastern Tier 2
UCL,W4 2SH,Men's South Eastern Tier 3
Leeds,LS16 5AU,Men's Northern Tier 4
Birmingham,B15 2GR,ICG Women's Premier (National)
Birmingham,B15 2GR,ICG Women's Premier (North/South)
Bath,BA2 7AY,ICG Women's Premier (North/South)
Oxford Brookes,OX3 0GB,Men's Midlands Tier 4
Bucks New,HP7 9HN,Men's South Eastern Tier 5
Southampton,SO50 5PE,ICG Women's Western Tier 1
UWE,BS16 1QY,ICG Women's Western Tier 1
Loughborough,LE11 3TU,ICG Women's Midlands Tier 1
Liverpool John Moores,,ICG Women's Northern Tier 2
Leeds,LS16 5AU,ICG Women's Northern Tier 3
Newcastle,NE12 8AD,ICG Women's Northern Tier 5
Cardiff  (Medics),CF14 3AT,ICG Women's Western Tier 3
Cardiff Met,,ICG Women's Western Tier 3
Bournemouth,BH23 6BL,ICG Women's Western Tier 2
Reading,RG6 6UR,ICG Women's South Eastern Tier 3 
Durham,DH1 3SE,ICG Women's Northern Tier 3
Nottingham Trent,,ICG Women's Midlands Tier 2 
Salford,WA15 7LU,ICG Women's Northern Tier 3
Royal Agricultural,,ICG Women's Western Tier 5
LSE,E20 3AD,ICG Women's South Eastern Tier 3 
St Andrews,KY16 9DY,ICG Women's Scottish Tier 1
Exeter,EX4 4QN,Men's Western Tier 2
Kingston,,Men's South Eastern Tier 2
Leeds Beckett,LS6 3QQ,Men's Northern Tier 3
Portsmouth,PO4 8LW,Men's South Eastern Tier 3
Imperial,UB3 5AQ,Men's Premier (North/South)
Swansea,,ICG Women's Premier (North/South)
Leicester,LE2 2LL,Men's Midlands Tier 4
York,YO10 5NA,ICG Women's Northern Tier 2
Bangor,LL57 2EH,ICG Women's Northern Tier 3
Manchester Met,M14 6HE,ICG Women's Northern Tier 4
Warwick,CV4 8AH,ICG Women's Midlands Tier 2 
Liverpool,L18 6HF,ICG Women's Northern Tier 5
Bristol,BS9 2BJ,ICG Women's Western Tier 2
Royal Holloway,,ICG Women's South Eastern Tier 4
Kent,CT2 7SR,ICG Women's South Eastern Tier 2 
King's College  (GKT),SE23 1NW,ICG Women's South Eastern Tier 3 
UCL  (RUMS),EN4 0PS,ICG Women's South Eastern Tier 5
Lancaster,LA1 4YQ,Men's Northern Tier 1
Anglia Ruskin,CB3 0EQ,Men's Midlands Tier 4
Northumbria,,ICG Women's Northern Tier 1
Aberdeen,,ICG Women's Scottish Tier 2
Bath,BA2 7AY,Men's Western Tier 2
Cardiff,CF14 3AT,Men's Western Tier 2
Leeds,LS16 5AU,Men's Northern Tier 2
Nottingham,NG7 2RJ,Men's Midlands Tier 3
Bath,BA2 7AY,Men's Western Tier 1
Loughborough,LE11 3TU,ICG Women's Midlands Tier 1
Leeds,LS16 5AU,ICG Women's Northern Tier 2
Reading,RG6 6UR,ICG Women's South Eastern Tier 1
Oxford,OX4 1SR,ICG Women's Midlands Tier 2 
East Anglia,NR4 7TJ,ICG Women's Midlands Tier 2 
Bristol,BS9 2BJ,ICG Women's Western Tier 4
Birmingham City,B42 2TP,ICG Women's Midlands Tier 3
Newcastle,NE12 8AD,Men's Northern Tier 3
UCL,W4 2SH,Men's South Eastern Tier 4
Birmingham,B15 2GR,Men's Midlands Tier 2
Birmingham,B15 2GR,Men's Premier (National)
Staffordshire,ST15 0BW,Men's Midlands Tier 3
Sussex,,Men's South Eastern Tier 3
Oxford Brookes,OX3 0GB,ICG Women's Premier (North/South)
Sheffield Hallam,,ICG Women's Northern Tier 3
Cumbria,LA1 3DY,ICG Women's Northern Tier 5
UCL  (RUMS),EN4 0PS,Men's South Eastern Tier 4
Imperial  (Medics),UB3 5AQ,Men's South Eastern Tier 4
Northumbria,,Men's Northern Tier 2
Manchester,M14 6HE,Men's Northern Tier 1
King's College  (GKT),SE23 1NW,Men's South Eastern Tier 3
Exeter,EX4 4QN,ICG Women's Premier (National)
Leeds Beckett,LS6 3QQ,ICG Women's Premier (North/South)
Warwick,CV4 8AH,ICG Women's Midlands Tier 4
Leicester,LE2 2LL,ICG Women's Midlands Tier 4
Bristol,BS9 2BJ,ICG Women's Western Tier 2
Loughborough,LE11 3TU,Men's Midlands Tier 2
Nottingham,NG7 2PS,Men's Midlands Tier 1
Cambridge,CB3 0EQ,Men's Premier (North/South)
Cardiff,CF14 3AT,ICG Women's Western Tier 1
Solent,,ICG Women's Western Tier 4
Oxford,OX4 1SR,Men's Midlands Tier 1
Nottingham Trent,,ICG Women's Premier (National)
Cardiff Met,,ICG Women's Western Tier 2
Birmingham,B15 2GR,ICG Women's Midlands Tier 1
Nottingham,NG7 2PS,ICG Women's Premier (National)
Liverpool,L18 6HF,ICG Women's Northern Tier 2
Aberdeen,,ICG Women's Scottish Tier 5
Swansea,,ICG Women's Western Tier 3
Leeds Beckett,LS6 3QQ,Men's Northern Tier 3
Stirling,FK9 4LA,ICG Women's Scottish Tier 5
Sheffield,S8 8PS,Men's Northern Tier 2
Warwick,CV4 8UW,Men's Midlands Tier 3
Liverpool John Moores,,Men's Northern Tier 4
Cardiff  (Medics),,ICG Women's Western Tier 3
Heriot-Watt,,ICG Women's Scottish Tier 2
Exeter,EX4 4QN,Men's Western Tier 2
Manchester Met,,Men's Northern Tier 2
Winchester,SO23 0QA,Men's Western Tier 4
Leeds,LS16 5AU,ICG Women's Northern Tier 5
Harper Adams,,ICG Women's Midlands Tier 4
Manchester,M14 6HE,Men's Northern Tier 2
Edge Hill,L39 4QP,Men's Northern Tier 2
Bath,BA2 7AY,Men's Premier (National)
Nottingham Trent,,Men's Premier (National)
Reading,RG6 6UR,Men's South Eastern Tier 2
Kingston,,Men's South Eastern Tier 2
Bangor,LL57 2EH,Men's Northern Tier 3
Lancaster,LA1 4YQ,Men's Northern Tier 3
Bournemouth,BH23 6BL,Men's Western Tier 3
Aberystwyth,SA48 7BX,Men's Western Tier 3
Exeter,EX4 4QN,Men's Premier (North/South)
Royal Agricultural,,Men's Western Tier 4
York,YO10 5NA,ICG Women's Northern Tier 2
Keele,,ICG Women's Northern Tier 3
Manchester,M14 6HE,ICG Women's Northern Tier 5
De Montfort,,ICG Women's Midlands Tier 4
Marjon,,ICG Women's Western Tier 3
Swansea,,ICG Women's Western Tier 3
Southampton,SO50 5PE,ICG Women's Western Tier 4
St Mary's,TW11 9BE,ICG Women's South Eastern Tier 2 
Plymouth,PL5 1ER,ICG Women's Western Tier 2
Imperial  (Medics),TW7 4NQ,Men's South Eastern Tier 4
UCL,W4 2SH,Men's South Eastern Tier 2
East Anglia,NR4 7TJ,Men's Midlands Tier 4
Chester,,ICG Women's Northern Tier 5
Lincoln,,Men's Midlands Tier 2
Queen Mary  (Barts),,Men's South Eastern Tier 3
Leeds Beckett,LS6 3QQ,Men's Northern Tier 4
UWE,,Men's Western Tier 4
Hull,,ICG Women's Northern Tier 5
Imperial,UB3 5AQ,ICG Women's South Eastern Tier 2 
Kent,CT2 7SR,ICG Women's South Eastern Tier 2 
Bucks New,HP7 9HN,ICG Women's South Eastern Tier 4
Brunel,UB8 3PH,Men's South Eastern Tier 4
Edinburgh,,Men's Scottish Tier 3
Dundee,DD2 1UQ,Men's Scottish Tier 2
Robert Gordon,AB24 1XP,ICG Women's Scottish Tier 5
Strathclyde,G33 6ND,ICG Women's Scottish Tier 3
Sheffield,S8 8PS,Men's Northern Tier 4
UCLan,PR2 1SG,ICG Women's Northern Tier 3
Teesside,,ICG Women's Northern Tier 4
Birmingham City,B42 2TP,ICG Women's Midlands Tier 3
Bath,BA2 7AY,ICG Women's Premier (North/South)
Edinburgh,,Men's Scottish Tier 2
Glasgow,G20 0SP,Men's Scottish Tier 4
Aston,,Men's Midlands Tier 2
Bath,BA2 7AY,Men's Western Tier 2
UWE,BS16 1QY,Men's Western Tier 3
Leeds,LS16 5AU,Men's Northern Tier 4
Birmingham,B15 2GR,ICG Women's Premier (North/South)
Lancaster,LA1 4YQ,ICG Women's Northern Tier 2
Leeds,LS16 5AU,ICG Women's Northern Tier 3
Liverpool John Moores,,ICG Women's Northern Tier 4
Birmingham,B15 2GR,ICG Women's Midlands Tier 2 
Nottingham,NG7 2RJ,ICG Women's Midlands Tier 2 
Newcastle,NE12 8AD,ICG Women's Northern Tier 5
Cardiff,CF14 3AT,ICG Women's Western Tier 2
Cardiff Met,,ICG Women's Western Tier 4
Durham,DH1 3SE,Men's Northern Tier 3
Nottingham Trent,,Men's Premier (North/South)
Harper Adams,,ICG Women's Midlands Tier 3
St Andrews,KY16 9DY,ICG Women's Scottish Tier 3
Royal Agricultural,,ICG Women's Western Tier 5
Chichester,PO19 6PE,ICG Women's South Eastern Tier 2 
King's College  (GKT),SE23 1NW,ICG Women's South Eastern Tier 3 
LSE,E20 3AD,Men's South Eastern Tier 2
Portsmouth,PO4 8LW,Men's South Eastern Tier 3
Manchester Met,,Men's Northern Tier 4
Durham,DH1 3SE,Men's Premier (North/South)
Swansea,,ICG Women's Premier (North/South)
Exeter,EX4 4QN,ICG Women's Premier (North/South)
Marjon,,Men's Western Tier 4
Manchester,M14 6HE,Men's Northern Tier 5 
King's College  (GKT),SE23 1NW,Men's South Eastern Tier 5
Liverpool,L18 6HF,ICG Women's Northern Tier 2
Bangor,LL57 2EH,ICG Women's Northern Tier 3
Manchester Met,M14 6HE,ICG Women's Northern Tier 4
Leeds Beckett,LS6 3QQ,ICG Women's Northern Tier 4
York,YO10 5NA,ICG Women's Northern Tier 4
Warwick,CV4 8AH,ICG Women's Midlands Tier 2 
Exeter,EX4 4QN,ICG Women's Western Tier 3
Bristol,BS9 2BJ,ICG Women's Western Tier 2
Royal Holloway,,ICG Women's South Eastern Tier 2 
Queen Mary,,ICG Women's South Eastern Tier 3 
Imperial  (Medics),UB3 5AQ,ICG Women's South Eastern Tier 5
UCL  (RUMS),EN4 0PS,ICG Women's South Eastern Tier 5
Edinburgh,,Men's Scottish Tier 3
Strathclyde,G33 6ND,Men's Scottish Tier 3
Dundee,DD2 1UQ,ICG Women's Scottish Tier 4
Northumbria,,Men's Northern Tier 2
Solent,,Men's Western Tier 3
Sussex,,Men's South Eastern Tier 3
Lincoln,,Men's Midlands Tier 4
Reading,RG6 6UR,ICG Women's South Eastern Tier 4
Robert Gordon,AB24 5RU,Men's Scottish Tier 4
Glasgow,G20 0SP,ICG Women's Scottish Tier 3
Southampton,SO50 5PE,Men's Western Tier 2
Leeds,LS16 5AU,Men's Northern Tier 2
Edinburgh,,Men's Premier (North/South)
Oxford,OX4 1SR,ICG Women's Premier (National)
Leeds,LS16 5AU,ICG Women's Northern Tier 2
Bristol,BS9 2BJ,ICG Women's Western Tier 2
LSE,E20 3AD,ICG Women's South Eastern Tier 3 
Kent,CT2 7SR,Men's South Eastern Tier 4
St Andrews,KY16 9DY,Men's Scottish Tier 4
Birmingham,B15 2GR,Men's Midlands Tier 2
Cardiff Met,,Men's Premier (National)
Imperial,UB3 5AQ,Men's South Eastern Tier 3
St George's,EN4 0PS,Men's South Eastern Tier 3
Cumbria,LA1 3DY,Men's Northern Tier 4
Oxford Brookes,OX3 0GB,ICG Women's Premier (North/South)
Kent,CT2 7SR,Men's South Eastern Tier 5
Aston,,ICG Women's Midlands Tier 3
Nottingham Trent,,ICG Women's Midlands Tier 3
Bristol,BS9 2BJ,Men's Premier (North/South)
Edinburgh,,Men's Scottish Tier 4
Dundee,DD2 1UQ,ICG Women's Scottish Tier 5
Exeter,EX4 4QN,Men's Premier (National)
Durham,DH1 3SE,ICG Women's Premier (National)
Leeds Beckett,LS6 3QQ,ICG Women's Premier (North/South)
York,YO10 5NA,Men's Northern Tier 5 
Manchester Met,M14 6HE,ICG Women's Northern Tier 2
Liverpool,L18 6HF,ICG Women's Northern Tier 5
Solent,,ICG Women's Western Tier 4
Royal Holloway,,ICG Women's South Eastern Tier 5
King's College,SE23 1NW,ICG Women's South Eastern Tier 4
King's College  (GKT),SE23 1NW,ICG Women's South Eastern Tier 4
Warwick,CV4 8AH,ICG Women's Midlands Tier 3
Edinburgh,,ICG Women's Scottish Tier 4
Loughborough,LE11 3TU,Men's Midlands Tier 2
Leeds,LS16 5AU,Men's Premier (North/South)
Sussex,,ICG Women's South Eastern Tier 5
St Andrews,KY16 9DY,ICG Women's Scottish Tier 5
Oxford,OX4 1SR,Men's Midlands Tier 3
Newcastle,NE12 8AD,ICG Women's Premier (North/South)
Cardiff,CF14 3AT,ICG Women's Premier (North/South)
Imperial,UB3 5AQ,Men's South Eastern Tier 4
Cardiff Met,,ICG Women's Premier (National)
Liverpool,L18 6HF,ICG Women's Northern Tier 4
Newcastle,NE12 8AD,Men's Northern Tier 3
Durham,DH1 3SE,ICG Women's Northern Tier 3
Cardiff Met,,ICG Women's Western Tier 2
Reading,RG6 6UR,Men's Premier (North/South)
Wrexham Glyndwr,LL11 2AW,ICG Women's Northern Tier 5
York St John,,ICG Women's Northern Tier 5
Brighton,,ICG Women's South Eastern Tier 1
